Name,Artist,Genre,Subgenre,Energy
Body On My,Loud Luxury,pop,dance pop,0.726
Higher Love,Kygo,pop,dance pop,0.678
Unlove You,Armin van Buuren,pop,dance pop,0.928
bad guy (with Justin Bieber),Billie Eilish,pop,dance pop,0.453
Cool Kids,Olympis,pop,dance pop,0.5
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,pop,dance pop,0.801
Talk - Disclosure VIP,Khalid,pop,dance pop,0.867
Call You Mine,The Chainsmokers,pop,dance pop,0.702
Post Malone (feat. RANI),Sam Feldt,pop,dance pop,0.642
Here With Me,Marshmello,pop,dance pop,0.565
Sixteen,Ellie Goulding,pop,dance pop,0.801
Never Really Over,Katy Perry,pop,dance pop,0.882
All You Need To Know (feat. Calle Lehmann),Gryffin,pop,dance pop,0.788
I Miss Myself (with HRVY),NOTD,pop,dance pop,0.864
Takeaway (feat. Lennon Stella),The Chainsmokers,pop,dance pop,0.505
All the Time,Zara Larsson,pop,dance pop,0.799
What I Like About You (feat. Theresa Rex),Jonas Blue,pop,dance pop,0.8
With You,Kaskade,pop,dance pop,0.921
Body Back (feat. Maia Wright),Gryffin,pop,dance pop,0.83
Not Ok,Kygo,pop,dance pop,0.66
Ruin My Life,Zara Larsson,pop,dance pop,0.699
I Wanna Know (feat. Bea Miller),NOTD,pop,dance pop,0.725
Better With You,3LAU,pop,dance pop,0.752
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,pop,dance pop,0.705
Polaroid,Jonas Blue,pop,dance pop,0.898
In Your Arms (with X Ambassadors),ILLENIUM,pop,dance pop,0.806
I'm Not Alright,Loud Luxury,pop,dance pop,0.856
SOS,Avicii,pop,dance pop,0.645
Harder,Jax Jones,pop,dance pop,0.832
The Middle,Zedd,pop,dance pop,0.657
Wanted,NOTD,pop,dance pop,0.674
Crash Into Me,Steve Aoki,pop,dance pop,0.815
Need Your Love (with Noah Kahan),Gryffin,pop,dance pop,0.76
Good Things Fall Apart (with Jon Bellion),ILLENIUM,pop,dance pop,0.594
Don't Call Me Up,Mabel,pop,dance pop,0.881
Nostalgic,A R I Z O N A,pop,dance pop,0.538
Let It Be Me,Steve Aoki,pop,dance pop,0.758
Lovers + Strangers,Starley,pop,dance pop,0.69
Sad Song (feat. TINI),Alesso,pop,dance pop,0.693
Sleepless Nights,ayokay,pop,dance pop,0.696
Save Me Tonight,ARTY,pop,dance pop,0.899
No Sleep (feat. Bonn),Martin Garrix,pop,dance pop,0.635
Feel Good (feat. Daya),Gryffin,pop,dance pop,0.707
Endless Summer,Cashae,pop,dance pop,0.719
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,pop,dance pop,0.795
Think About You,Kygo,pop,dance pop,0.596
Party For One,Carly Rae Jepsen,pop,dance pop,0.633
Ritual,Tiësto,pop,dance pop,0.726
Electricity (with Dua Lipa),Silk City,pop,dance pop,0.67
Lie,Shallou,pop,dance pop,0.427
I Found You (with Calvin Harris),benny blanco,pop,dance pop,0.865
Now That I Found You,Carly Rae Jepsen,pop,dance pop,0.737
All Comes Back To You,R3HAB,pop,dance pop,0.763
Need U,DVBBS,pop,dance pop,0.705
First Love,Lost Kings,pop,dance pop,0.938
Something Real,Armin van Buuren,pop,dance pop,0.808
TIME,Alesso,pop,dance pop,0.808
Something About You (with Rudimental),Elderbrook,pop,dance pop,0.605
Home (feat. Bonn),Martin Garrix,pop,dance pop,0.612
Sorry,Joel Corry,pop,dance pop,0.79
Spicy (with Diplo & Charli XCX),Herve Pagez,pop,dance pop,0.818
The Upside (feat. Elle King),Lindsey Stirling,pop,dance pop,0.856
Stay,Zedd,pop,dance pop,0.622
Million Voices,Armin van Buuren,pop,dance pop,0.869
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,pop,dance pop,0.801
Closer (feat. Halsey),The Chainsmokers,pop,dance pop,0.524
Say My Name (feat. Zyra) - RAC Mix,ODESZA,pop,dance pop,0.624
Clarity,Zedd,pop,dance pop,0.781
Solo (feat. Demi Lovato),Clean Bandit,pop,dance pop,0.636
Scared to Be Lonely,Martin Garrix,pop,dance pop,0.54
Friends (with BloodPop®),Justin Bieber,pop,dance pop,0.733
RITMO (Bad Boys For Life),The Black Eyed Peas,pop,dance pop,0.716
Promises (with Sam Smith),Calvin Harris,pop,dance pop,0.768
Turn Me On (feat. Vula),Riton,pop,dance pop,0.828
Light,San Holo,pop,dance pop,0.763
2U,David Guetta,pop,dance pop,0.651
Something Just Like This,The Chainsmokers,pop,dance pop,0.635
One Kiss (with Dua Lipa),Calvin Harris,pop,dance pop,0.862
Heroes (we could be),Alesso,pop,dance pop,0.748
It Ain’t Me (with Selena Gomez),Kygo,pop,dance pop,0.533
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,pop,dance pop,0.677
Let Me Love You,DJ Snake,pop,dance pop,0.716
Roses,The Chainsmokers,pop,dance pop,0.802
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,pop,dance pop,0.738
Latch,Disclosure,pop,dance pop,0.727
Flames,David Guetta,pop,dance pop,0.726
Sorry,Justin Bieber,pop,dance pop,0.76
This Is What You Came For,Calvin Harris,pop,dance pop,0.928
Wake Me Up,Avicii,pop,dance pop,0.783
In My Mind,Dynoro,pop,dance pop,0.77
Titanium (feat. Sia),David Guetta,pop,dance pop,0.787
Where Are Ü Now,Skrillex,pop,dance pop,0.74
Firework,Katy Perry,pop,dance pop,0.832
Mi Gente (feat. Beyoncé),J Balvin,pop,dance pop,0.716
Don't You Worry Child - Radio Edit,Swedish House Mafia,pop,dance pop,0.832
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,pop,dance pop,0.832
Anything Could Happen,Ellie Goulding,pop,dance pop,0.781
Poker Face,Lady Gaga,pop,dance pop,0.806
How Deep Is Your Love,Calvin Harris,pop,dance pop,0.868
In Your Eyes (feat. Alida),Robin Schulz,pop,dance pop,0.672
Wish You Well (with Sigala),Sigala,pop,dance pop,0.89
Dive,Hot Shade,pop,dance pop,0.787
No Goodbye,Paul Kalkbrenner,pop,dance pop,0.584
Work,MOTi,pop,dance pop,0.929
Instagram,Dimitri Vegas & Like Mike,pop,dance pop,0.906
Better Off Without You (feat. Shift K3Y),Becky Hill,pop,dance pop,0.855
Butterfly,Molella,pop,dance pop,0.662
All The Love You Got,MOTi,pop,dance pop,0.736
Love Is Not Enough,GATTÜSO,pop,dance pop,0.816
Lose Control,MEDUZA,pop,dance pop,0.526
I Wanna Dance,Jonas Blue,pop,dance pop,0.841
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,pop,dance pop,0.899
Pon de Replay,Ed Marquis,pop,dance pop,0.717
So Close,NOTD,pop,dance pop,0.872
Look Into My Eyes,Brando,pop,dance pop,0.541
